,date,city,env,median
0,2020-01-12,Austin,temperature,9.3
1,2020-02-25,Austin,temperature,12.7
2,2020-04-12,Austin,temperature,23.3
3,2020-07-04,Austin,temperature,29.4
4,2020-06-01,Austin,temperature,24.7
5,2020-09-12,Austin,temperature,27.0
6,2020-10-08,Austin,temperature,25.5
7,2020-10-16,Austin,temperature,18.4
8,2020-03-07,Austin,temperature,10.8
9,2020-08-06,Austin,temperature,28.8
10,2020-08-18,Austin,temperature,30.0
11,2020-03-05,Austin,temperature,12.5
12,2020-04-21,Austin,temperature,23.1
13,2020-05-14,Austin,temperature,24.7
14,2020-07-16,Austin,temperature,29.8
15,2020-07-10,Austin,temperature,30.6
16,2020-09-22,Austin,temperature,20.6
17,2020-09-25,Austin,temperature,22.6
18,2020-03-13,Austin,temperature,21.9
19,2020-04-15,Austin,temperature,13.2
20,2020-05-30,Austin,temperature,24.4
21,2020-06-22,Austin,temperature,28.2
22,2020-04-17,Austin,temperature,17.2
23,2020-05-07,Austin,temperature,24.4
24,2020-06-25,Austin,temperature,26.3
25,2020-06-26,Austin,temperature,24.6
26,2020-10-21,Austin,temperature,24.8
27,2020-01-28,Austin,temperature,12.4
28,2020-02-18,Austin,temperature,18.8
29,2020-05-20,Austin,temperature,27.3
30,2020-08-26,Austin,temperature,30.1
31,2020-01-17,Austin,temperature,12.0
32,2020-05-12,Austin,temperature,20.0
33,2020-10-24,Austin,temperature,12.7
34,2020-05-17,Austin,temperature,23.1
35,2020-07-18,Austin,temperature,29.3
36,2020-08-25,Austin,temperature,30.5
37,2020-09-10,Austin,temperature,15.6
38,2020-01-27,Austin,temperature,12.9
39,2020-02-14,Austin,temperature,7.5
40,2020-03-16,Austin,temperature,18.8
41,2020-05-03,Austin,temperature,26.3
42,2020-10-18,Austin,temperature,25.5
43,2020-10-22,Austin,temperature,25.1
44,2020-01-15,Austin,temperature,20.8
45,2020-03-25,Austin,temperature,23.5
46,2020-03-24,Austin,temperature,20.9
47,2020-04-13,Austin,temperature,11.9
48,2020-01-14,Austin,temperature,18.0
49,2020-02-01,Austin,temperature,9.2
50,2020-03-11,Austin,temperature,21.8
51,2020-03-17,Austin,temperature,20.0
52,2020-08-24,Austin,temperature,29.8
53,2020-09-15,Austin,temperature,26.9
54,2020-10-01,Austin,temperature,23.3
55,2020-10-04,Austin,temperature,22.5
56,2020-02-05,Austin,temperature,3.3
57,2020-02-16,Austin,temperature,15.1
58,2020-05-22,Austin,temperature,27.5
59,2020-06-11,Austin,temperature,25.4
60,2020-04-18,Austin,temperature,15.0
61,2020-07-01,Austin,temperature,28.4
62,2020-01-06,Austin,temperature,14.5
63,2020-02-08,Austin,temperature,12.5
64,2020-03-22,Austin,temperature,15.0
65,2020-04-16,Austin,temperature,18.6
66,2020-02-07,Austin,temperature,12.2
67,2020-04-08,Austin,temperature,27.2
68,2020-01-13,Austin,temperature,12.7
69,2020-04-14,Austin,temperature,11.9
70,2020-10-15,Austin,temperature,23.8
71,2020-08-12,Austin,temperature,30.6
72,2020-09-06,Austin,temperature,27.8
73,2020-01-24,Austin,temperature,9.9
74,2020-06-28,Austin,temperature,26.1
