,city,mean,S_diff,num_bootstraps,CI
0,Riyadh,29.879689954892125,46.21127028728114,896,89.6
1,Lampang,19.699914057947986,125.32638765294774,999,99.9
2,Kielce,11.235537274786925,38.4322602222462,766,76.6
3,Erzurum,7.314505689743455,57.00960138690257,685,68.5
4,Kobe,17.849688697742433,48.28012482666268,809,80.9
5,Donostia / San Sebastián,15.311704899352284,28.91013901621801,857,85.7
6,Nagasaki,18.632953552690154,53.35443609460782,937,93.7
7,George Town,28.28704052443972,4.419073589940545,752,75.2
8,Hegang,4.120720951817309,70.42383401428938,570,57.0
9,Xi’an,14.768501511311577,54.26446102778695,744,74.4
10,Burgos,11.364510886468615,35.782837639433865,836,83.6
11,Liège,11.939670587878316,26.89154636520322,575,57.5
12,Castelló de la Plana,18.020945186009147,33.603168644172534,717,71.7
13,Freiburg,12.028230038022167,34.138146653587434,674,67.4
14,El Paso,16.63532137441411,83.53929263165156,969,96.9
15,Chennai,26.716007415986557,40.23477642027974,998,99.8
16,Buenos Aires,15.033729986411435,48.39508603627556,999,99.9
17,Granada,16.332295256129466,37.71700308831764,611,61.1
18,Québec,7.794584990309407,63.8088039484925,775,77.5
19,Mecca,27.51871412606675,31.403057809820922,952,95.2
20,Karlsruhe,13.016697549067546,34.16564730551241,610,61.0
21,Tallinn,5.836337136964917,38.87160496977378,935,93.5
22,Poznań,11.472985965107073,36.66638528462639,634,63.4
23,Modena,15.621523543660642,37.73774045846625,653,65.3
24,Linz,11.678593339363644,45.76887888251902,792,79.2
25,Guiyang,15.802843717276422,46.03389246089464,847,84.7
26,Wuhan,18.35647579439779,57.670451709333804,778,77.8
27,Córdoba,17.9615524202037,42.71141869069011,730,73.0
28,Mérida,22.59560114277022,87.88563037753252,999,99.9
29,Kütahya,12.556109056868232,44.228116792365974,772,77.2
30,Yazd,21.76703798974169,55.44073407180818,715,71.5
31,Leeds,11.408196020778755,32.69555505812319,919,91.9
32,Abha,20.043126724036068,20.512771924034443,898,89.8
33,San Jose,12.988822300011819,47.39204035212101,976,97.6
34,Braşov,10.919506060573015,46.691565787099535,731,73.1
35,Hohhot,8.217461293650116,68.31192255402487,694,69.4
36,Amman,18.976303033760207,43.07277953661712,952,95.2
37,Denizli,16.55363844187885,50.62368816389393,852,85.2
38,Kaunas,9.445879873818555,38.37988204741126,631,63.1
39,Nîmes,16.074751619227605,34.20781393422397,677,67.7
40,Baia Mare,11.221955272089287,45.23409413154312,682,68.2
41,Tuzla,11.717921816704495,41.13357954113306,644,64.4
42,Amsterdam,12.369396278041465,24.035276674308804,532,53.2
43,Vancouver,10.864403839193185,29.719056072851274,607,60.7
44,Brno,11.271246432238506,40.6774892865292,645,64.5
45,San Luis Potosí,14.986581541218639,55.430197132616485,983,98.3
46,Livorno,15.940466895112055,37.53331588483204,757,75.7
47,Ningbo,21.007768069358033,54.501270171476634,958,95.8
48,Adana,20.400253668805437,39.95172811414213,739,73.9
49,Jinan,15.220744876303662,61.087581564799066,765,76.5
50,Keelung,23.661542315366006,23.620860578366205,609,60.9
51,Darmstadt,12.528918628723273,31.35788607712273,576,57.6
52,Kamianske,13.29935528415943,51.0675590666374,722,72.2
53,Oradea,12.093225690198551,42.97591479226605,627,62.7
54,Płock,10.453527726676366,40.64044654316761,678,67.8
55,Rouen,12.559370507829215,27.376449455948183,745,74.5
56,Belgrade,13.993262625784178,43.37841512275884,702,70.2
57,Ottawa,8.088161179291601,59.91165445835219,692,69.2
58,Saint Paul,9.323584795580762,64.90300469691601,718,71.8
59,Foshan,23.97478183006896,35.95200750460761,821,82.1
60,Haiphong,26.36947941858023,17.484173214778078,930,93.0
61,Huế,26.910603530251556,14.966969661427811,970,97.0
62,Brussels,13.107511748540672,28.768477895852733,731,73.1
63,Wrocław,11.53285695441007,41.96290454493596,759,75.9
64,Oakland,14.35331260585293,21.56066672574738,721,72.1
65,Yinchuan,11.053435987075586,61.161806663488555,720,72.0
66,Tampere,6.5149907032776895,42.74756488351594,643,64.3
67,Kuala Lumpur,27.500670713694902,5.611036866359427,958,95.8
68,Hanoi,24.861371002545226,26.94364161322237,727,72.7
69,Richards Bay,19.00176048303342,52.18220322245625,975,97.5
70,Szczecin,10.834781454023668,33.539698372632195,666,66.6
71,Barcelona,17.430422223308764,34.49285088845156,745,74.5
72,Tokyo,17.45728243785321,52.8152888842711,821,82.1
73,Perpignan,17.29952982122905,30.29769985354718,644,64.4
74,Changzhou,17.519618432874132,50.41735552221233,703,70.3
75,Jieyang,23.103252154238664,39.715085655986016,845,84.5
76,Indianapolis,12.912156279115921,60.11899206769393,868,86.8
77,Kermanshah,16.95075133254152,55.723576496269715,719,71.9
78,Düsseldorf,12.568653983669279,28.177052662298777,570,57.0
79,Moscow,9.010303268328714,47.3711784000153,741,74.1
80,Miyazaki,18.630778089204792,42.799796791738004,763,76.3
