,city,date,avgMedian
0,Dhaka,2019-06,80.9
1,Ulan Bator,2019-05,83.80645161290323
2,Jakarta,2019-06,142.76666666666668
3,Kyoto,2019-05,51.74193548387097
4,Lhasa,2019-04,40.766666666666666
5,Lanzhou,2019-05,88.38709677419355
6,Suwon,2019-04,70.86206896551724
7,Mexico City,2019-05,101.25806451612904
8,Chihuahua,2019-06,43.17391304347826
9,Edinburgh,2019-05,18.838709677419356
10,Portland,2019-05,20.0
11,Brooklyn,2019-04,21.6
12,Quilpué,2019-04,63.96551724137931
13,Islamabad,2019-06,86.26666666666667
14,Edmonton,2019-06,29.2
15,Malmö,2019-05,27.838709677419356
16,Warsaw,2019-06,42.96666666666667
17,Bloemfontein,2019-06,134.56666666666666
18,Cape Town,2019-05,35.774193548387096
19,Rome,2019-04,44.666666666666664
20,Chuncheon,2019-05,68.38709677419355
21,Bishkek,2019-04,66.86206896551724
22,Samut Prakan,2019-06,52.53333333333333
23,Mississauga,2019-06,28.233333333333334
24,Boise,2019-04,23.3
25,Brno,2019-05,35.54838709677419
26,Nantes,2019-04,42.766666666666666
27,Sapporo,2019-05,37.774193548387096
28,Taichung,2019-05,58.70967741935484
29,Hangzhou,2019-05,96.61290322580645
30,Kamianske,2019-05,32.166666666666664
31,Chandigarh,2019-05,111.09677419354838
32,Manchester,2019-05,35.096774193548384
33,Little Rock,2019-05,33.45161290322581
34,Prague,2019-05,39.645161290322584
35,Bloemfontein,2019-05,106.74193548387096
36,Odessa,2019-05,40.607142857142854
37,Petaẖ Tiqwa,2019-05,60.16129032258065
38,Groningen,2019-05,25.451612903225808
39,Melbourne,2019-06,28.166666666666668
40,Glasgow,2019-06,19.633333333333333
41,Houston,2019-04,35.5
42,Olomouc,2019-04,57.24
43,Santiago,2019-06,106.3
44,Klerksdorp,2019-05,51.666666666666664
45,Niigata,2019-05,41.29032258064516
46,Beijing,2019-06,104.86666666666666
47,Cheongju-si,2019-06,76.75862068965517
48,Delhi,2019-05,158.0
49,Nashik,2019-05,87.96774193548387
50,Tepic,2019-06,59.13333333333333
51,Gdańsk,2019-06,35.56666666666667
52,Fuzhou,2019-06,63.5
53,Wuhan,2019-05,101.29032258064517
54,Mokpo,2019-06,64.86206896551724
55,Ostrava,2019-04,77.96
56,Rancagua,2019-05,109.09677419354838
57,Hong Kong,2019-05,56.87096774193548
58,Takamatsu,2019-06,46.333333333333336
59,Hefei,2019-04,112.43333333333334
60,Gandhinagar,2019-04,167.53846153846155
61,Rotterdam,2019-05,38.38709677419355
62,Newport,2019-04,61.58620689655172
63,Phoenix,2019-05,18.419354838709676
64,Manhattan,2019-06,29.366666666666667
65,Queens,2019-05,19.193548387096776
66,Gifu-shi,2019-05,46.83870967741935
67,Turin,2019-04,48.266666666666666
68,Morelia,2019-06,50.8
69,Columbus,2019-06,30.3
70,Fort Worth,2019-06,38.0
71,Tours,2019-04,44.2
72,Nara-shi,2019-05,47.354838709677416
73,Shenyang,2019-04,99.6
74,Dongguan,2019-06,52.96666666666667
75,Ashdod,2019-05,63.29032258064516
76,Adelaide,2019-06,5.777777777777778
77,Birmingham,2019-04,61.724137931034484
78,Las Vegas,2019-06,22.233333333333334
79,Toulouse,2019-05,24.741935483870968
80,Butuan,2019-06,44.125
81,Reykjavík,2019-06,16.266666666666666
82,Manama,2019-06,122.43333333333334
83,Utrecht,2019-05,36.54838709677419
84,Wrocław,2019-04,68.66666666666667
85,Calama,2019-04,56.55172413793103
86,Yokohama,2019-04,36.89655172413793
87,Okayama,2019-04,49.89655172413793
88,Las Palmas de Gran Canaria,2019-05,35.03448275862069
89,Bydgoszcz,2019-06,55.78947368421053
90,Chengdu,2019-06,69.6
91,Indianapolis,2019-04,27.066666666666666
92,Matsuyama,2019-04,52.310344827586206
93,Kaohsiung,2019-06,34.86666666666667
94,Hangzhou,2019-06,85.4
95,Lviv,2019-05,36.6
96,Newcastle,2019-04,28.166666666666668
97,Staten Island,2019-05,26.967741935483872
98,Seattle,2019-04,19.133333333333333
99,Klerksdorp,2019-04,39.64
100,San Juan,2019-06,60.857142857142854
101,Oulu,2019-06,21.6
102,Cardiff,2019-04,60.93103448275862
103,Chillán,2019-05,86.03225806451613
104,Linz,2019-05,38.54838709677419
105,Chuncheon,2019-06,52.0
106,Katowice,2019-04,77.73333333333333
107,Coventry,2019-05,35.74193548387097
108,Pristina,2019-04,61.3
109,Pokhara,2019-05,94.83333333333333
110,Cape Town,2019-04,32.5
111,Tuzla,2019-06,62.73076923076923
112,Tianjin,2019-06,111.8
113,Kamianske,2019-06,20.233333333333334
114,Bilbao,2019-04,36.44827586206897
115,Freiburg,2019-06,26.866666666666667
116,Nur-Sultan,2019-06,27.5
117,Norwich,2019-05,28.870967741935484
118,Milwaukee,2019-06,29.966666666666665
119,Albuquerque,2019-04,15.9
120,Saint-Étienne,2019-05,23.806451612903224
121,Vientiane,2019-04,138.56666666666666
122,Jakarta,2019-05,124.64516129032258
123,Muzaffarnagar,2019-06,141.36666666666667
124,Monterrey,2019-05,0.0
125,Los Angeles,2019-04,42.4
126,San Diego,2019-04,31.185185185185187
127,Calgary,2019-05,33.58064516129032
128,Montréal,2019-06,27.766666666666666
129,Darmstadt,2019-05,31.322580645161292
130,Budapest,2019-05,29.580645161290324
131,Warsaw,2019-04,66.4
132,Chicago,2019-05,29.29032258064516
133,São José dos Campos,2019-06,55.36666666666667
134,Worcester,2019-06,40.333333333333336
135,Jeonju,2019-06,75.55172413793103
136,Tampere,2019-05,18.516129032258064
137,Perth,2019-04,33.766666666666666
138,Victoria,2019-06,15.615384615384615
139,Delhi,2019-04,153.3793103448276
140,Nancy,2019-04,46.3
141,Auckland,2019-05,40.193548387096776
142,Vereeniging,2019-05,107.58064516129032
143,Hong Kong,2019-04,61.46666666666667
144,Samsun,2019-04,42.310344827586206
145,New Delhi,2019-04,147.68965517241378
146,Haifa,2019-04,59.464285714285715
147,Dordrecht,2019-05,34.25806451612903
148,Oslo,2019-05,23.0
149,San Francisco,2019-06,33.63333333333333
150,Clermont-Ferrand,2019-06,36.0
151,Pretoria,2019-05,127.53846153846153
152,Baghdad,2019-05,91.58064516129032
153,Santa Cruz de Tenerife,2019-05,32.41379310344828
154,Trieste,2019-06,51.206896551724135
155,Bandar Abbas,2019-05,0.0
156,Addis Ababa,2019-06,90.68181818181819
157,London,2019-04,43.706896551724135
158,Toluca,2019-04,103.1
159,Clermont-Ferrand,2019-05,28.70967741935484
160,Worcester,2019-04,13.05
161,Yinchuan,2019-05,83.93548387096774
162,Naples,2019-06,61.63333333333333
163,Sejong,2019-04,75.55172413793103
164,Seongnam-si,2019-05,73.12903225806451
165,Dallas,2019-05,33.41935483870968
166,Richards Bay,2019-05,38.12903225806452
167,Changzhou,2019-04,112.16666666666667
168,Tallinn,2019-06,22.8
169,Szeged,2019-04,55.233333333333334
170,Rotterdam,2019-04,56.833333333333336
171,Jackson,2019-04,29.5
172,Tucson,2019-06,19.166666666666668
173,Marseille,2019-06,37.43333333333333
174,Taipei,2019-04,62.63333333333333
175,Parma,2019-05,32.285714285714285
176,The Hague,2019-06,31.5
177,Edinburgh,2019-06,19.666666666666668
178,Lille,2019-05,49.0
179,Kobe,2019-06,46.2
180,Jinan,2019-04,124.86666666666666
181,Oviedo,2019-05,43.354838709677416
182,Butuan,2019-05,51.0
183,Victoria,2019-05,26.225806451612904
184,Płock,2019-06,43.833333333333336
185,Lisbon,2019-05,28.677419354838708
186,Linz,2019-04,55.733333333333334
187,Ningbo,2019-05,74.70967741935483
188,Yangon,2019-05,52.0
189,Hạ Long,2019-06,1.1
190,Oulu,2019-04,28.5
191,Łódź,2019-04,70.0
192,Baltimore,2019-04,21.4
193,Pilsen,2019-06,42.733333333333334
194,Nice,2019-06,53.766666666666666
195,Christchurch,2019-04,21.0
196,Kanazawa,2019-06,36.96666666666667
197,Wakayama,2019-06,46.56666666666667
198,Parma,2019-04,44.25
199,Budapest,2019-06,35.8
200,Samut Prakan,2019-05,68.19354838709677
201,Tashkent,2019-06,90.0
202,Orléans,2019-06,28.413793103448278
203,Wellington,2019-05,29.838709677419356
204,Rijeka,2019-05,23.838709677419356
205,Chiba,2019-05,42.41935483870968
206,Kaunas,2019-04,60.266666666666666
207,Kolkata,2019-04,105.82758620689656
208,Helsinki,2019-06,26.833333333333332
209,Sofia,2019-06,69.2
210,Aguascalientes,2019-05,149.0952380952381
211,Indianapolis,2019-05,30.193548387096776
212,Denver,2019-04,23.833333333333332
213,Metz,2019-04,51.2
214,Keelung,2019-04,50.93333333333333
215,Wollongong,2019-06,25.8
216,Leicester,2019-04,62.689655172413794
217,Kunming,2019-05,88.96774193548387
218,Haifa,2019-06,64.43333333333334
219,Biratnagar,2019-06,63.9375
220,Staten Island,2019-04,24.866666666666667
221,Wellington,2019-06,30.766666666666666
222,Kyiv,2019-06,18.666666666666668
223,Seoul,2019-05,81.74193548387096
224,Busan,2019-05,76.93548387096774
225,Lucknow,2019-06,150.93333333333334
226,Kagoshima,2019-05,53.03225806451613
227,San Salvador,2019-05,74.0
228,Nanning,2019-05,75.96774193548387
229,Eindhoven,2019-06,40.0
230,Newcastle,2019-05,33.266666666666666
231,Bydgoszcz,2019-05,46.583333333333336
232,Los Angeles,2019-06,41.4
233,Christchurch,2019-05,37.225806451612904
234,Ürümqi,2019-04,61.833333333333336
235,Miskolc,2019-06,41.8
236,Zürich,2019-04,2.1724137931034484
237,Quito,2019-04,57.172413793103445
238,Rotterdam,2019-06,37.56666666666667
239,Groningen,2019-04,45.333333333333336
240,Maastricht,2019-05,40.41935483870968
241,Funchal,2019-06,19.633333333333333
242,Kyoto,2019-04,42.41379310344828
243,Taichung,2019-04,70.56666666666666
244,Istanbul,2019-06,57.03333333333333
245,Pohang,2019-04,55.55172413793103
246,Kathmandu,2019-05,123.64516129032258
247,The Bronx,2019-05,7.290322580645161
248,Philadelphia,2019-04,28.466666666666665
249,Salt Lake City,2019-05,15.03225806451613
250,Auckland,2019-06,42.733333333333334
251,Jieyang,2019-05,68.96774193548387
252,Foshan,2019-04,72.8
253,Hefei,2019-06,81.96666666666667
254,Sanandaj,2019-04,0.0
255,Fresno,2019-04,31.3
256,Madison,2019-06,34.36666666666667
257,Pilsen,2019-04,58.2
258,Puerto Montt,2019-04,78.89655172413794
259,Harbin,2019-04,92.2
260,Ivano-Frankivsk,2019-05,34.806451612903224
261,Tehran,2019-06,8.333333333333334
262,Belgrade,2019-05,38.064516129032256
263,Kecskemét,2019-06,41.5
264,Reykjavík,2019-04,22.75862068965517
265,Kitchener,2019-05,24.774193548387096
266,Raleigh,2019-04,36.666666666666664
267,Richmond,2019-04,21.68421052631579
268,Erzurum,2019-04,75.65517241379311
269,Prato,2019-06,51.206896551724135
270,Florence,2019-04,41.733333333333334
271,Brussels,2019-04,60.37931034482759
272,Mumbai,2019-05,63.354838709677416
273,Patna,2019-06,124.63333333333334
274,Preston,2019-04,56.241379310344826
275,Boston,2019-04,23.9
276,Rennes,2019-05,30.451612903225808
277,Tianjin,2019-04,115.7
278,Jeonju,2019-04,71.24137931034483
279,Stavanger,2019-06,25.966666666666665
280,Potsdam,2019-05,34.38709677419355
281,Potsdam,2019-06,39.666666666666664
282,Saint Paul,2019-06,24.6
283,Dhaka,2019-04,137.10344827586206
284,Zanjān,2019-04,0.0
285,Sacramento,2019-05,18.967741935483872
286,Oakland,2019-04,33.333333333333336
287,Toulon,2019-05,35.96774193548387
288,Karachi,2019-05,100.44444444444444
289,Sivas,2019-04,64.82758620689656
290,Yeosu,2019-04,52.3448275862069
291,Jeju City,2019-06,62.48275862068966
292,Incheon,2019-04,65.06896551724138
293,Utrecht,2019-04,51.4
