,city,date,avgMedian
0,Bilbao,2020-08,29.387096774193548
1,Kaunas,2020-05,30.258064516129032
2,Kochi,2020-04,42.3
3,Tepic,2020-09,20.966666666666665
4,Taitung City,2020-01,28.548387096774192
5,Rouen,2020-09,35.8
6,Caen,2020-01,35.74193548387097
7,Toronto,2020-04,23.366666666666667
8,Jieyang,2020-05,59.29032258064516
9,Xuchang,2020-03,122.96774193548387
10,Anyang,2020-05,93.70967741935483
11,Vantaa,2020-05,17.93548387096774
12,Seoul,2020-08,49.774193548387096
13,Charlotte,2020-01,25.483870967741936
14,Detroit,2020-03,34.38709677419355
15,Little Rock,2020-09,37.833333333333336
16,Omaha,2020-10,34.19230769230769
17,Bogotá,2020-06,37.93333333333333
18,Preston,2020-05,25.93548387096774
19,Southend-on-Sea,2020-02,25.448275862068964
20,Zanjān,2020-08,52.83870967741935
21,Kyiv,2020-05,17.806451612903224
22,Breda,2020-05,30.93548387096774
23,Jinan,2020-03,104.09677419354838
24,Nizhniy Novgorod,2020-08,30.0
25,Ulan Bator,2020-03,106.54838709677419
26,Santa Cruz de Tenerife,2020-09,28.833333333333332
27,Wakayama,2020-05,43.16129032258065
28,Nagoya,2020-08,48.74193548387097
29,Florence,2020-02,51.58620689655172
30,Marseille,2020-07,38.54838709677419
31,Gandhinagar,2020-01,129.48387096774192
32,São José dos Campos,2020-02,22.379310344827587
33,Kitchener,2020-09,25.566666666666666
34,Surrey,2020-03,19.35483870967742
35,Hefei,2020-04,89.16666666666667
36,Hegang,2020-02,80.37931034482759
37,Bamako,2020-10,95.42307692307692
38,Richmond,2020-09,25.566666666666666
39,Charlotte,2020-04,26.1
40,Seattle,2020-06,16.7
41,Namur,2020-02,16.40740740740741
42,Netanya,2020-05,59.74193548387097
43,Ashkelon,2020-08,57.38709677419355
44,Coventry,2020-04,39.266666666666666
45,Balıkesir,2020-04,49.36666666666667
46,Zürich,2020-10,2.230769230769231
47,Kamianske,2020-09,18.166666666666668
48,Zaporizhia,2020-07,30.774193548387096
49,Nijmegen,2020-06,33.96666666666667
50,Nara-shi,2020-09,31.791666666666668
51,Tainan,2020-02,82.0
52,Győr,2020-01,83.87096774193549
53,Köln,2020-04,43.86363636363637
54,Kassel,2020-03,29.322580645161292
55,Lucknow,2020-09,135.13333333333333
56,Hāpur,2020-08,55.61290322580645
57,Nashik,2020-03,95.16129032258064
58,Toronto,2020-07,27.193548387096776
59,Manama,2020-09,127.06666666666666
60,Launceston,2020-03,10.2
61,Puerto Montt,2020-01,26.193548387096776
62,Oklahoma City,2020-02,28.551724137931036
63,Jackson,2020-04,38.93333333333333
64,Austin,2020-10,38.11538461538461
65,Jacksonville,2020-03,39.38709677419355
66,Philadelphia,2020-07,36.29032258064516
67,Conakry,2020-10,36.23076923076923
