,city,date,avgMedian
0,Sibiu,2019-03,6.264516129032257
1,Tainan,2019-01,0.0
2,Changsha,2019-02,5.792857142857143
3,Hyderabad,2018-12,29.0
4,Zanjān,2019-03,5.158064516129032
5,Brooklyn,2019-02,2.6249999999999996
6,Paris,2019-01,4.512903225806451
7,Split,2018-12,3.8
8,Warsaw,2019-01,-0.5709677419354839
9,Zanjān,2019-02,3.4250000000000003
10,Seattle,2018-12,1.1
11,San Antonio,2019-03,4.629032258064516
12,Nancy,2018-12,6.6
13,Utsunomiya,2019-01,4.483870967741935
14,Kagoshima,2019-02,10.785714285714288
15,Lampang,2019-01,0.0
16,Berlin,2019-02,4.489285714285714
17,Reykjavík,2018-12,-2.0
18,Wollongong,2018-12,25.7
19,Kaohsiung,2018-12,0.0
20,Plovdiv,2019-03,21.516129032258064
21,Naples,2019-03,12.706451612903225
22,Dnipro,2019-02,0.14000000000000007
23,Saint Paul,2019-02,-9.735714285714284
24,Naha,2019-02,20.09642857142857
25,Málaga,2018-12,9.5
26,Los Ángeles,2019-03,18.229032258064514
27,Kassel,2019-02,3.085714285714285
28,Chihuahua,2019-01,0.0
29,Shenzhen,2018-12,11.3
30,Ulsan,2018-12,0.0
31,Richmond,2019-01,3.0451612903225804
32,Nashville,2018-12,15.5
33,Santa Cruz de Tenerife,2019-01,13.961290322580645
34,Xiamen,2019-02,15.892857142857142
35,Johannesburg,2019-02,0.0
36,Vereeniging,2019-03,0.0
37,Trondheim,2019-02,-0.3321428571428573
38,Lima,2019-03,22.741935483870975
39,Seattle,2019-01,5.025806451612902
40,Niigata,2019-01,3.167741935483871
41,Brăila,2019-03,7.796774193548386
42,Moscow,2019-01,-6.838709677419354
43,Palma,2019-02,11.614285714285716
44,Alor Setar,2019-02,27.67500000000001
45,Zürich,2019-03,7.022580645161291
46,Szczecin,2019-03,6.016129032258066
47,Zabrze,2018-12,1.6
48,Vereeniging,2019-02,0.0
49,Naples,2019-01,7.512903225806451
50,Yazd,2019-03,14.132258064516128
51,Los Angeles,2018-12,0.0
52,Ḩawallī,2019-03,18.70967741935484
53,Adapazarı,2019-03,7.770967741935484
54,Vantaa,2019-03,0.0967741935483871
55,Oulu,2019-02,-6.578571428571429
56,Sendai,2019-03,1.3709677419354838
57,Augsburg,2019-01,-0.34516129032258064
58,Debrecen,2019-02,3.099999999999999
59,Győr,2018-12,4.4
60,Pécs,2018-12,4.0
61,Baguio,2019-02,0.0
62,Hsinchu,2019-02,0.0
63,Tainan,2018-12,0.0
64,Incheon,2019-02,0.0
65,Toulon,2018-12,10.8
66,Hiroshima,2019-03,10.122580645161294
67,Sapporo,2019-03,1.812903225806452
68,Castelló de la Plana,2019-03,13.190322580645162
69,Santiago,2019-01,21.580645161290324
70,Düsseldorf,2019-03,8.23225806451613
71,Pachuca de Soto,2018-12,0.0
72,Launceston,2019-01,18.822580645161295
73,Taipei,2019-02,17.11428571428571
74,Naples,2018-12,9.0
75,Haarlem,2019-03,7.809677419354838
76,Austin,2019-01,0.0
77,Lyon,2018-12,5.0
78,Sivas,2019-01,-4.096774193548387
79,Sevilla,2019-02,13.007142857142856
80,Glasgow,2019-01,4.045161290322581
81,Shijiazhuang,2018-12,-8.0
82,Taiyuan,2019-03,7.354838709677419
83,Płock,2019-02,3.3035714285714284
84,Port Elizabeth,2019-01,9.096774193548388
85,Adapazarı,2019-01,5.503225806451613
86,Jerusalem,2018-12,8.8
87,Tallahassee,2018-12,19.0
88,Amiens,2019-02,6.428571428571426
89,Kuching,2019-03,26.693548387096776
90,Győr,2019-03,8.738709677419354
91,Cardiff,2018-12,8.8
92,Nanchang,2019-01,6.0838709677419365
93,Middelburg,2019-02,0.0
94,Richards Bay,2019-03,23.622580645161293
95,Amman,2019-03,10.803999999999998
96,Andong,2019-02,0.0
97,Zenica,2018-12,1.5
98,Arāk,2019-03,5.741935483870967
99,Hartford,2019-01,0.0
100,Balıkesir,2019-01,5.751612903225807
101,Okayama,2019-02,4.475
102,Braşov,2019-03,6.787096774193548
103,Bilbao,2019-01,9.28064516129032
104,Rayong,2018-12,0.0
105,Addis Ababa,2019-03,18.267741935483873
106,Hannover,2019-03,7.3516129032258055
107,Cuernavaca,2019-03,4.5612903225806445
108,Malmö,2018-12,11.6
109,Melbourne,2019-02,0.0
110,Gdańsk,2019-03,4.812903225806452
111,Poznań,2019-01,0.20322580645161295
112,Plovdiv,2018-12,2.6
113,Dordrecht,2019-02,6.346428571428571
114,Kütahya,2019-01,4.132258064516129
115,Incheon,2019-01,0.0
116,Chicago,2019-01,-5.729032258064516
117,Detroit,2019-03,0.0
118,Ḩawallī,2019-01,14.664516129032265
119,Pristina,2019-03,0.0
120,London,2019-03,4.520967741935484
121,Monterrey,2018-12,0.0
122,Taitung City,2019-03,0.7258064516129032
123,Warsaw,2018-12,3.8
124,Amsterdam,2019-01,4.2548387096774185
125,Belgrade,2019-02,5.439285714285715
126,Abu Dhabi,2019-01,21.193548387096776
127,Ostrava,2019-01,-0.9193548387096773
128,Ulsan,2019-01,0.0
129,Pohang,2019-03,0.0
130,Nashik,2019-01,15.445161290322583
131,Boise,2019-03,3.9096774193548387
132,Phoenix,2019-03,5.412903225806452
133,Galaţi,2019-02,2.8214285714285716
134,Morelia,2019-01,0.0
135,Glasgow,2018-12,10.0
136,Hefei,2019-02,3.75
137,Nanjing,2019-03,12.2258064516129
138,Kielce,2019-01,-1.1806451612903224
139,Kielce,2019-02,3.1178571428571424
140,Denver,2019-01,0.0
141,Lyon,2019-01,2.764516129032258
142,Bursa,2019-02,5.1499999999999995
143,Pristina,2018-12,0.0
144,Oviedo,2019-02,10.110714285714286
145,Wollongong,2019-02,21.707142857142856
146,Xi’an,2019-02,2.05
147,Livorno,2019-01,5.238709677419355
148,Groningen,2019-01,3.354838709677419
149,Hartford,2019-03,1.8096774193548388
150,Fukuoka,2019-03,11.541935483870969
151,Madrid,2019-02,9.839285714285717
152,Zürich,2018-12,4.4
153,Buraydah,2019-02,16.0
154,Manila,2019-02,12.547826086956523
