City,Latitude,Longitude,PM25_CI,PM25_diff,Temp_CI,Temp_diff
Abu Dhabi,24.474796100000002,54.3705762,99.9,71.93707106390087,75.5,4.137198698594695
Adapazarı,40.784799,30.3996833,51.2,-2.55795521908982,93.8,-0.35744210702164025
Addis Ababa,9.0,38.75,74.9,-11.954608805711032,66.9,-0.021008012482461424
Adelaide,-34.928180499999996,138.5999312,99.9,-17.058057215927068,59.0,2.1995352536599495
Aguascalientes,22.0000001,-102.5000001,38.7,-2.610041886593621,98.0,-1.8738229371666504
Akita,39.689880200000005,140.342608,98.1,15.843167479535664,83.0,4.0342823487228365
Albuquerque,35.0841034,-106.6509851,99.6,0.20762880612157275,55.5,2.755418823112368
Algiers,28.000027199999998,2.9999825,99.3,-8.363737802839026,97.7,-0.3986481010646763
Amiens,49.8941708,2.2956951,95.2,43.634878530524816,64.9,2.00597372334747
Amsterdam,52.3727598,4.8936041,77.5,4.679112954157446,53.2,1.3816532337757557
Andong,40.5791477,124.44071459999999,90.8,12.877348030167811,95.7,-1.5285178607080745
Ankara,39.9207774,32.854067,81.3,-3.062670995629837,89.2,7.341628916133921
Antwerpen,51.2211097,4.3997081,87.8,3.9851508511336386,55.4,1.2917149017093408
Anyang,35.9901282,114.5096506,44.9,5.194007484914066,77.7,5.507719418401394
Arāk,34.0865203,49.688841499999995,99.8,-14.26941475469283,85.1,4.725409227591097
Ashdod,31.7977314,34.6529922,87.5,14.258340219291275,73.1,3.1821181909488345
Ashgabat,37.93783215,58.23594672,92.4,-25.043794518392204,99.4,-5.671416296366832
Ashkelon,31.664487400000002,34.5730157,99.1,15.553670007782356,75.3,2.9585248599379814
Atlanta,33.749098700000005,-84.39018490000001,98.4,12.39009444763616,89.5,4.416567470164242
Auckland,-36.852095,174.76318030000002,99.9,18.50409662207771,99.9,-9.439842515075227
Austin,30.2711286,-97.7436995,98.8,-3.212271521787649,96.6,0.04621977207072092
Baghdad,33.3024309,44.3787992,98.4,-1.7356510351110614,83.8,7.009692189530902
Baltimore,39.2908816,-76.610759,70.5,5.071884429993432,83.4,2.3401890989988807
